<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NLMK;60;01.12.2022;110000;106.4000000;107.0000000;106.1400000;106.5800000;313490
NLMK;60;01.12.2022;120000;106.5600000;106.7000000;106.4400000;106.5800000;106820
NLMK;60;01.12.2022;130000;106.5800000;106.9000000;106.4200000;106.4200000;204940
NLMK;60;01.12.2022;140000;106.4200000;106.8400000;106.2800000;106.5400000;186680
NLMK;60;01.12.2022;150000;106.5600000;106.9000000;106.5000000;106.7400000;103340
NLMK;60;01.12.2022;160000;106.7400000;106.9000000;106.4200000;106.7000000;251130
NLMK;60;01.12.2022;170000;106.7000000;106.9000000;106.6800000;106.8200000;249810
NLMK;60;01.12.2022;180000;106.8200000;106.8800000;106.4000000;106.5000000;186990
NLMK;60;01.12.2022;190000;106.5000000;106.5000000;106.2800000;106.4000000;108700
NLMK;60;01.12.2022;200000;106.2400000;106.4600000;106.0200000;106.3000000;150860
NLMK;60;01.12.2022;210000;106.3000000;106.4200000;106.1600000;106.3200000;32230
NLMK;60;01.12.2022;220000;106.3800000;106.5000000;106.2800000;106.5000000;62090
NLMK;60;01.12.2022;230000;106.5000000;106.8000000;106.4600000;106.6000000;53480
NLMK;60;02.12.2022;0;106.6000000;106.7600000;106.3000000;106.6200000;34450
NLMK;60;02.12.2022;110000;106.5800000;106.6000000;106.0400000;106.2400000;165580
NLMK;60;02.12.2022;120000;106.2000000;106.2400000;105.6200000;105.9000000;269600
NLMK;60;02.12.2022;130000;105.8600000;105.9000000;105.5200000;105.6000000;152030
NLMK;60;02.12.2022;140000;105.6000000;105.6200000;105.0000000;105.0200000;633500
NLMK;60;02.12.2022;150000;105.0200000;105.3600000;104.9000000;105.2000000;284540
NLMK;60;02.12.2022;160000;105.2400000;105.4800000;105.1600000;105.4600000;117180
NLMK;60;02.12.2022;170000;105.4400000;105.4800000;104.9400000;105.0800000;247050
NLMK;60;02.12.2022;180000;105.0600000;105.3000000;104.9200000;105.1400000;212310
NLMK;60;02.12.2022;190000;105.1800000;105.6000000;105.1000000;105.6000000;146090
NLMK;60;02.12.2022;200000;105.3600000;105.9000000;105.3200000;105.5200000;55920
NLMK;60;02.12.2022;210000;105.5200000;105.7200000;105.4200000;105.5200000;34500
NLMK;60;02.12.2022;220000;105.5200000;105.6200000;105.4600000;105.5000000;14940
NLMK;60;02.12.2022;230000;105.5400000;105.6400000;105.4000000;105.4800000;53770
NLMK;60;03.12.2022;0;105.4200000;105.6000000;105.3600000;105.4400000;41290
NLMK;60;05.12.2022;110000;105.4400000;106.6000000;104.7200000;106.0200000;655350
NLMK;60;05.12.2022;120000;106.0200000;106.0600000;105.4800000;105.5000000;215360
NLMK;60;05.12.2022;130000;105.5000000;105.9000000;105.0600000;105.1800000;202730
NLMK;60;05.12.2022;140000;105.1600000;106.5200000;105.1200000;106.2800000;626030
NLMK;60;05.12.2022;150000;106.3000000;106.4600000;105.6200000;105.9200000;242420
NLMK;60;05.12.2022;160000;105.9000000;105.9400000;105.4000000;105.8400000;156860
NLMK;60;05.12.2022;170000;105.8400000;105.9000000;105.5800000;105.7200000;135420
NLMK;60;05.12.2022;180000;105.7200000;106.0000000;105.7200000;105.9000000;107810
NLMK;60;05.12.2022;190000;105.9000000;106.0000000;105.7000000;105.9000000;106810
NLMK;60;05.12.2022;200000;106.1600000;106.1800000;105.6600000;105.8400000;59230
NLMK;60;05.12.2022;210000;105.8400000;105.9200000;105.7000000;105.7200000;15440
NLMK;60;05.12.2022;220000;105.7200000;105.8600000;105.7000000;105.7800000;18650
NLMK;60;05.12.2022;230000;105.7800000;105.7800000;105.5800000;105.7800000;37960
NLMK;60;06.12.2022;0;105.8000000;105.8000000;105.5600000;105.7000000;30540
NLMK;60;06.12.2022;110000;105.9200000;106.1000000;105.3800000;105.5400000;177280
NLMK;60;06.12.2022;120000;105.5400000;105.9800000;105.4400000;105.6800000;81210
